year,men_less_than_hs,men_high_school,men_some_college,men_bachelors_degree,men_advanced_degree,women_less_than_hs,women_high_school,women_some_college,women_bachelors_degree,women_advanced_degree,average_hourly_earnings_for_men,average_hourly_earnings_for_women,men_less_than_hs_relative_salary,men_high_school_relative_salary,men_some_college_relative_salary,men_bachelors_degree_relative_salary,men_advanced_degree_relative_salary,women_less_than_hs_relative_salary,women_high_school_relative_salary,women_some_college_relative_salary,women_bachelors_degree_relative_salary,women_advanced_degree_relative_salary
2001,16.23,23.67,27.12,42.14,51.54,12.9,18.28,21.18,31.72,39.94,32.14,24.804,0.5049782202862477,0.7364654635967642,0.8438083385189795,1.3111387678904791,1.6036092097075294,0.5200774068698597,0.7369779067892276,0.8538945331398162,1.278825995807128,1.6102241573939686
2002,16.7,23.92,27.1,42.36,53.17,12.93,18.59,21.59,32.01,40.55,32.65,25.134,0.5114854517611026,0.7326186830015314,0.8300153139356815,1.29739663093415,1.6284839203675345,0.5144425877297685,0.7396355534335959,0.8589957826052359,1.2735736452613988,1.6133524309700007
2003,16.79,23.89,27.04,42.18,52.49,12.97,18.85,21.6,32.0,40.38,32.478,25.160000000000004,0.5169653303774863,0.7355748506681445,0.8325635815013239,1.2987252909661924,1.6161709464868526,0.5155007949125596,0.7492050874403815,0.8585055643879173,1.271860095389507,1.6049284578696341
2004,16.66,23.74,27.03,41.74,53.92,12.77,18.59,21.46,31.66,40.32,32.61800000000001,24.96,0.5107609295481021,0.7278189956465753,0.8286835489606964,1.279661536574897,1.6530749892697278,0.5116185897435898,0.7447916666666666,0.8597756410256411,1.2684294871794872,1.6153846153846154
2005,16.46,23.34,26.49,41.96,53.29,12.64,18.41,21.25,31.82,40.39,32.308,24.902,0.509471338368206,0.7224216912219884,0.8199207626594032,1.2987495357187075,1.6494366720316949,0.5075897518271625,0.7392980483495302,0.8533451128423419,1.2778090113243916,1.6219580756565737
2006,16.31,23.55,26.39,41.97,53.5,12.71,18.32,21.22,32.08,40.46,32.344,24.958,0.5042666336878555,0.7281103141231758,0.8159163987138264,1.2976131585456343,1.6540934949295076,0.5092555493228624,0.7340331757352353,0.8502283836845901,1.2853594037983813,1.621123487458931
2007,16.6,23.39,26.66,42.55,53.61,12.96,18.26,21.25,31.96,40.68,32.562,25.022000000000002,0.5097966955346724,0.718321970394939,0.8187457772864075,1.3067379153614642,1.6463976414225172,0.5179442090959955,0.7297578131244505,0.849252657661258,1.277275997122532,1.6257693229957635
2008,16.56,23.3,26.32,42.34,54.06,12.8,18.09,20.99,31.83,40.9,32.516000000000005,24.921999999999997,0.5092877352687907,0.716570303850412,0.8094476565383195,1.3021281830483453,1.6625661212941318,0.5136024396115882,0.7258646978573149,0.8422277505818153,1.277184816627879,1.641120295321403
2009,16.91,23.74,26.75,43.04,56.35,13.14,18.7,21.22,31.84,41.8,33.358,25.34,0.5069248755920619,0.7116733617123329,0.8019065891240483,1.2902452185382818,1.6892499550332756,0.5185477505919495,0.7379636937647988,0.8374112075769534,1.2565114443567482,1.64956590370955
2010,16.32,23.28,26.24,42.71,55.87,13.08,18.43,21.16,32.33,41.73,32.884,25.345999999999997,0.4962899890524267,0.7079430726189029,0.7979564529862546,1.2988079309086487,1.699002554433767,0.5160577605933876,0.727136431784108,0.8348457350272234,1.2755464373076622,1.6464136352876195
